rt,spectrum,mz,intensity
1215.235,397,558.275853,1068
1215.235,398,558.272156,1172
1215.235,400,558.279549,1376
1215.235,450,562.249396,1104
1215.235,451,562.249396,1657
1215.235,452,562.249396,1941
1215.235,453,562.249396,2522
1215.235,454,562.245686,1373
1215.235,455,562.249396,1459
1215.235,456,562.253105,1367
1215.235,457,562.253105,1796
1215.235,458,562.249396,1118
1215.235,462,562.245686,1716
1215.235,464,562.249396,1338
1215.778,371,588.335503,1118
1215.778,387,558.279549,1545
1215.778,388,558.275853,1873
1215.778,390,558.275853,1397
1215.778,393,558.272156,1595
1215.778,394,558.275853,1252
1215.778,395,558.272156,1290
1215.778,396,558.279549,1083
1215.778,399,558.275853,1346
1215.778,403,588.30135,1249
1215.778,448,562.249396,1068
1215.778,449,562.249396,2048
1215.778,450,562.245686,1184
1215.778,451,562.249396,2255
1215.778,452,562.249396,3599
1215.778,453,562.249396,1163
1215.778,454,562.249396,1731
1215.778,455,562.249396,1885
1215.778,456,562.249396,1844
1215.778,457,562.249396,1462
1215.778,458,562.249396,1275
1215.778,459,562.253105,1198
1215.778,460,562.249396,1571
1215.778,461,562.253105,1071
1215.778,469,517.267386,1207
1215.778,474,517.260269,1021
1215.778,480,517.267386,1039
1216.321,385,558.275853,1154
1216.321,388,558.275853,1266
1216.321,391,558.279549,1328
1216.321,392,558.275853,1408
1216.321,394,558.279549,1334
1216.321,395,558.279549,1036
1216.321,396,558.272156,1053
1216.321,397,558.275853,1139
1216.321,447,562.253105,1655
1216.321,449,562.249396,1139
1216.321,450,562.249396,1461
1216.321,451,562.249396,1381
1216.321,452,562.249396,1523
1216.321,453,562.249396,1062
1216.321,455,562.249396,1962
1216.321,456,562.253105,1225
1216.321,457,562.253105,1325
1216.321,459,562.249396,1292
1216.321,471,517.267386,1021
1216.865,386,558.275853,1151
1216.865,388,558.279549,1065
1216.865,389,558.272156,1815
1216.865,390,558.279549,1118
1216.865,394,558.275853,1470
1216.865,438,516.321315,1892
1216.865,443,500.297123,1080
1216.865,446,562.249396,1180
1216.865,449,562.249396,1009
1216.865,450,562.253105,1133
1216.865,451,562.253105,1405
1216.865,452,562.253105,1585
1216.865,453,562.249396,1183
1216.865,454,562.253105,1399
1216.865,455,562.249396,1543
1216.865,456,562.249396,1579
1216.865,457,562.249396,2326
1216.865,458,562.249396,1720
1216.865,459,562.253105,1278
1216.865,460,521.267483,1056
1216.865,460,562.253105,1502
1216.865,462,562.249396,1440
1217.409,390,558.275853,1254
1217.409,392,558.275853,1180
1217.409,395,558.275853,1071
1217.409,403,588.305144,1340
1217.409,438,516.321315,1139
1217.409,447,562.253105,1219
1217.409,448,562.249396,1313
1217.409,449,562.253105,1599
1217.409,450,562.253105,1602
1217.409,451,562.253105,1024
1217.409,452,562.249396,2084
1217.409,453,562.249396,2060
1217.409,454,562.249396,2045
1217.409,455,562.245686,1948
1217.409,456,562.253105,1461
1217.409,457,562.253105,2016
1217.409,458,521.271055,1050
1217.409,461,562.253105,1121
1217.409,468,536.164131,1059
1217.951,390,558.275853,1142
1217.951,403,588.30135,1059
1217.951,441,500.297123,1124
1217.951,448,562.245686,1245
1217.951,450,562.249396,1327
1217.951,452,562.253105,1383
1217.951,453,562.253105,2560
1217.951,454,562.253105,1554
1217.951,455,562.253105,1250
1217.951,457,562.253105,1177
1217.951,458,562.249396,1771
1217.951,459,562.249396,1424
1217.951,466,562.249396,1021
1218.491,389,558.279549,1124
1218.491,391,558.275853,1195
1218.491,401,588.305144,1047
1218.491,403,588.297555,1195
1218.491,408,588.30135,1457
1218.491,421,542.260245,1192
1218.491,442,500.297123,1348
1218.491,442,516.321315,1409
1218.491,449,562.249396,1339
1218.491,450,562.245686,1044
1218.491,451,562.253105,1418
1218.491,452,562.245686,1721
1218.491,453,562.253105,1065
1218.491,454,562.249396,1736
1218.491,456,562.245686,1666
1218.491,457,562.249396,1047
1218.491,459,562.241976,1333
1218.491,460,562.245686,1115
1219.034,363,577.254064,1006
1219.034,364,577.257823,1136
1219.034,366,577.257823,1118
1219.034,397,588.30135,1248
1219.034,399,588.305144,1168
1219.034,400,588.305144,1336
1219.034,401,588.30135,1080
1219.034,404,588.30135,1436
1219.034,405,588.30135,2028
