rt,mz,spectrum,intensity
1456.808,488.301501,454,3918
1456.808,488.304958,456,1276
1456.808,488.304958,457,3698
1456.808,488.304958,459,3081
1456.808,488.301501,460,939
1456.808,488.298043,461,3316
1456.808,488.301501,463,1218
1456.808,488.301501,466,572
1457.348,488.301501,438,1479
1457.348,488.304958,439,1540
1457.348,488.301501,441,4862
1457.348,488.298043,442,4137
1457.348,488.298043,444,4817
1457.348,488.304958,445,2476
1457.348,488.298043,446,4303
1457.348,488.304958,447,5693
1457.348,488.301501,448,4303
1457.348,488.294586,449,5783
1457.348,488.304958,450,4696
1457.348,488.294586,452,5179
1457.348,488.298043,453,3760
1457.348,488.298043,454,4183
1457.348,488.301501,455,5074
1457.348,488.298043,459,1963
1457.348,488.294586,462,407
1457.348,488.301501,463,1374
1457.348,488.294586,466,875
1457.887,488.301501,435,653
1457.887,488.308415,436,1259
1457.887,488.308415,439,2177
1457.887,488.294586,440,2270
1457.887,488.301501,441,1228
1457.887,488.294586,443,1601
1457.887,488.308415,443,1912
1457.887,488.301501,444,5365
1457.887,488.301501,446,4541
1457.887,488.298043,447,3841
1457.887,488.304958,448,3483
1457.887,488.298043,449,4136
1457.887,488.301501,450,6096
1457.887,488.298043,451,4634
1457.887,488.304958,452,3017
1457.887,488.301501,454,3328
1457.887,488.301501,455,4541
1457.887,488.301501,457,3468
1457.887,488.301501,461,2799
1457.887,488.301501,466,1897
1458.427,488.298043,436,1073
1458.427,488.301501,437,2488
1458.427,488.301501,438,964
1458.427,488.298043,439,2472
1458.427,488.301501,444,3297
1458.427,488.301501,445,4230
1458.427,488.301501,446,6220
1458.427,488.301501,447,5023
1458.427,488.301501,448,6485
1458.427,488.301501,449,4012
1458.427,488.298043,452,3872
1458.427,488.301501,453,4028
1458.427,488.301501,454,3639
1458.427,488.298043,455,3063
1458.427,488.301501,457,2721
1458.427,488.298043,458,1337
1458.427,488.308415,459,2239
1458.966,488.308415,432,699
1458.966,488.301501,435,139
1458.966,488.308415,436,886
1458.966,488.301501,439,3343
1458.966,488.301501,440,1508
1458.966,488.304958,442,3934
1458.966,488.298043,444,2846
1458.966,488.308415,445,3763
1458.966,488.301501,446,5800
1458.966,488.301501,447,6096
1458.966,488.304958,448,3359
1458.966,488.301501,449,4774
1458.966,488.301501,450,3981
1458.966,488.301501,451,4790
1458.966,488.301501,452,3126
1458.966,488.304958,453,5909
1458.966,488.298043,454,3685
1458.966,488.301501,455,1959
1458.966,488.301501,456,1632
1458.966,488.301501,457,1461
1458.966,488.298043,458,3219
1458.966,488.304958,459,964
1458.966,488.308415,460,902
1458.966,488.304958,461,933
1459.504,488.298043,432,634
1459.504,488.294586,441,1479
1459.504,488.298043,442,2869
1459.504,488.301501,443,1615
1459.504,488.301501,444,2053
1459.504,488.298043,445,2068
1459.504,488.301501,446,5889
1459.504,488.301501,447,3533
1459.504,488.301501,448,4907
1459.504,488.301501,450,4319
1459.504,488.298043,451,4590
1459.504,488.301501,452,4485
1459.504,488.301501,454,1328
1459.504,488.298043,455,709
1459.504,488.298043,456,2038
1459.504,488.298043,457,906
1459.504,488.298043,458,906
1459.504,488.294586,459,966
1459.504,488.294586,461,2703
1460.043,488.294586,437,389
1460.043,488.304958,437,440
1460.043,488.301501,438,474
1460.043,488.301501,439,1719
1460.043,488.298043,440,872
1460.043,488.298043,441,3439
1460.043,488.298043,442,3913
1460.043,488.298043,443,1685
1460.043,488.304958,444,2643
1460.043,488.298043,445,5006
1460.043,488.301501,446,4650
1460.043,488.301501,447,2228
1460.043,488.301501,448,3447
1460.043,488.301501,449,3566
1460.043,488.301501,451,2465
1460.043,488.294586,452,2948
1460.043,488.304958,453,3244
1460.043,488.301501,454,2634
1460.043,488.304958,455,2151
1460.043,488.301501,456,1143
1460.043,488.301501,457,1025
1460.043,488.301501,458,1177
1460.043,488.304958,459,1973
1460.043,488.301501,460,1516
1460.587,488.294586,434,421
1460.587,488.304958,435,256
1460.587,488.308415,436,1049
1460.587,488.301501,438,435
1460.587,488.298043,439,827
1460.587,488.298043,440,1755
1460.587,488.298043,441,1734
1460.587,488.301501,442,1784
1460.587,488.301501,443,1356
1460.587,488.298043,444,1919
1460.587,488.301501,445,1991
1460.587,488.298043,446,2191
1460.587,488.301501,447,1976
1460.587,488.298043,449,2754
1460.587,488.304958,450,2162
1460.587,488.301501,451,2155
1460.587,488.301501,452,2676
1460.587,488.294586,454,1084
1460.587,488.298043,455,2333
1460.587,488.301501,456,1356
1460.587,488.301501,457,1306
1460.587,488.304958,458,792
1460.587,488.301501,460,1063
1460.587,488.301501,462,1348
1460.587,488.298043,463,899
1460.587,488.304958,465,328
1461.129,488.308415,432,770
1461.129,488.301501,433,1855
1461.129,488.301501,434,1035
1461.129,488.304958,435,1264
1461.129,488.298043,436,807
1461.129,488.298043,439,1102
1461.129,488.304958,440,608
1461.129,488.301501,441,1162
1461.129,488.301501,442,722
1461.129,488.301501,443,2035
1461.129,488.301501,445,1806
1461.129,488.298043,446,1981
1461.129,488.298043,447,1728
1461.129,488.298043,448,1373
1461.129,488.301501,449,2620
1461.129,488.301501,450,2758
1461.129,488.301501,451,2559
1461.129,488.298043,452,867
1461.129,488.304958,453,1379
1461.129,488.301501,454,1439
1461.129,488.301501,455,1692
1461.129,488.298043,456,2300
1461.129,488.301501,457,993
1461.129,488.294586,458,216
1461.129,488.308415,458,192
1461.129,488.304958,459,511
1461.129,488.301501,460,493
1461.129,488.301501,461,801
1461.129,488.301501,462,530
1461.67,488.301501,432,1565
1461.67,488.304958,434,1991
1461.67,488.298043,435,1315
1461.67,488.304958,436,1081
1461.67,488.301501,437,1061
1461.67,488.301501,439,1139
1461.67,488.304958,441,435
1461.67,488.298043,443,611
1461.67,488.301501,445,1878
1461.67,488.294586,446,1550
1461.67,488.304958,447,2362
1461.67,488.301501,448,1169
1461.67,488.298043,449,1991
1461.67,488.304958,450,1115
1461.67,488.301501,451,2597
1461.67,488.304958,452,1624
1461.67,488.304958,453,1139
1461.67,488.304958,454,1814
1461.67,488.298043,455,1262
1461.67,488.298043,456,919
1461.67,488.301501,458,371
1461.67,488.301501,459,816
1461.67,488.304958,460,205
1461.67,488.304958,465,200
1462.211,488.301501,432,2850
1462.211,488.298043,433,2510
1462.211,488.301501,434,1019
1462.211,488.298043,435,2204
1462.211,488.301501,436,2050
1462.211,488.301501,437,1125
1462.211,488.298043,438,1008
1462.211,488.298043,439,2231
1462.211,488.301501,440,702
1462.211,488.304958,441,789
1462.211,488.301501,442,1011
1462.211,488.301501,443,785
1462.211,488.301501,444,1185
1462.211,488.298043,445,1759
1462.211,488.298043,446,913
1462.211,488.298043,448,600
1462.211,488.301501,449,1340
1462.211,488.301501,452,1313
1462.211,488.308415,453,743
1462.211,488.298043,454,970
1462.211,488.301501,455,1272
1462.211,488.298043,456,834
1462.211,488.301501,457,426
1462.211,488.301501,458,313
1462.211,488.294586,459,79
1462.211,488.301501,460,445
1462.211,488.298043,461,539
1462.211,488.298043,462,79
1462.211,488.298043,463,271
1462.211,488.308415,469,154
1462.753,488.301501,432,3458
1462.753,488.298043,433,2903
1462.753,488.301501,434,3841
1462.753,488.301501,435,3210
1462.753,488.301501,436,2582
1462.753,488.301501,437,2258
1462.753,488.301501,438,1489
1462.753,488.301501,439,2202
1462.753,488.298043,440,1546
1462.753,488.304958,441,1168
1462.753,488.301501,442,1565
